Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Perfect Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	Exit Mach Number = 3.5
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1
Downstream Radius/R*:	1

Thermodynamic Inputs
Total Pressure (psia):	500
Total Temperature (R):	530
Gamma:	1.4
Molecular Weight:	28.96
Ambient Pressure (psia):	0

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	101
Maximum allowable angle between characteristics along wall (deg):	0.5
Number of RRCs to calculate above KERNEL (50-100):	100

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
31	6.5295	0.804598	3.5	0	6.55546	153.623	0.00357992	1.4
32	6.61656	0.830553	3.5	0	6.55546	153.623	0.00357992	1.4
33	6.70361	0.856508	3.5	0	6.55546	153.623	0.00357992	1.4
34	6.79067	0.882463	3.5	0	6.55546	153.623	0.00357992	1.4
35	6.87772	0.908417	3.5	0	6.55546	153.623	0.00357992	1.4
36	6.96478	0.934372	3.5	0	6.55546	153.623	0.00357992	1.4
37	7.05183	0.960327	3.5	0	6.55546	153.623	0.00357992	1.4
38	7.13889	0.986282	3.5	0	6.55546	153.623	0.00357992	1.4
39	7.22594	1.01224	3.5	0	6.55546	153.623	0.00357992	1.4
40	7.313	1.03819	3.5	0	6.55546	153.623	0.00357992	1.4
41	7.40005	1.06415	3.5	0	6.55546	153.623	0.00357992	1.4
42	7.48711	1.0901	3.5	0	6.55546	153.623	0.00357992	1.4
43	7.57416	1.11606	3.5	0	6.55546	153.623	0.00357992	1.4
44	7.66122	1.14201	3.5	0	6.55546	153.623	0.00357992	1.4
45	7.74827	1.16797	3.5	0	6.55546	153.623	0.00357992	1.4
46	7.83533	1.19392	3.5	0	6.55546	153.623	0.00357992	1.4
47	7.92238	1.21987	3.5	0	6.55546	153.623	0.00357992	1.4
48	8.00944	1.24583	3.5	0	6.55546	153.623	0.00357992	1.4
49	8.09649	1.27178	3.5	0	6.55546	153.623	0.00357992	1.4
50	8.18355	1.29774	3.5	0	6.55546	153.623	0.00357992	1.4
51	8.2706	1.32369	3.5	0	6.55546	153.623	0.00357992	1.4
52	8.35766	1.34965	3.5	0	6.55546	153.623	0.00357992	1.4
53	8.44471	1.3756	3.5	0	6.55546	153.623	0.00357992	1.4
54	8.53177	1.40156	3.5	0	6.55546	153.623	0.00357992	1.4
55	8.61882	1.42751	3.5	0	6.55546	153.623	0.00357992	1.4
56	8.70588	1.45347	3.5	0	6.55546	153.623	0.00357992	1.4
57	8.79293	1.47942	3.5	0	6.55546	153.623	0.00357992	1.4
58	8.87999	1.50538	3.5	0	6.55546	153.623	0.00357992	1.4
59	8.96704	1.53133	3.5	0	6.55546	153.623	0.00357992	1.4
60	9.0541	1.55729	3.5	0	6.55546	153.623	0.00357992	1.4
61	9.14115	1.58324	3.5	0	6.55546	153.623	0.00357992	1.4
62	9.22821	1.6092	3.5	0	6.55546	153.623	0.00357992	1.4
63	9.31526	1.63515	3.5	0	6.55546	153.623	0.00357992	1.4
64	9.40232	1.66111	3.5	0	6.55546	153.623	0.00357992	1.4
65	9.48937	1.68706	3.5	0	6.55546	153.623	0.00357992	1.4
66	9.57643	1.71302	3.5	0	6.55546	153.623	0.00357992	1.4
67	9.66348	1.73897	3.5	0	6.55546	153.623	0.00357992	1.4
68	9.75054	1.76493	3.5	0	6.55546	153.623	0.00357992	1.4
69	9.83759	1.79088	3.5	0	6.55546	153.623	0.00357992	1.4
70	9.92465	1.81683	3.5	0	6.55546	153.623	0.00357992	1.4
71	10.0117	1.84279	3.5	0	6.55546	153.623	0.00357992	1.4
72	10.0988	1.86874	3.5	0	6.55546	153.623	0.00357992	1.4
73	10.1858	1.8947	3.5	0	6.55546	153.623	0.00357992	1.4
74	10.2729	1.92065	3.5	0	6.55546	153.623	0.00357992	1.4
75	10.3599	1.94661	3.5	0	6.55546	153.623	0.00357992	1.4
76	10.447	1.97256	3.5	0	6.55546	153.623	0.00357992	1.4
77	10.534	1.99852	3.5	0	6.55546	153.623	0.00357992	1.4
78	10.6211	2.02447	3.5	0	6.55546	153.623	0.00357992	1.4
79	10.7081	2.05043	3.5	0	6.55546	153.623	0.00357992	1.4
80	10.7952	2.07638	3.5	0	6.55546	153.623	0.00357992	1.4
81	10.8823	2.10234	3.5	0	6.55546	153.623	0.00357992	1.4
82	10.9693	2.12829	3.5	0	6.55546	153.623	0.00357992	1.4
83	11.0564	2.15425	3.5	0	6.55546	153.623	0.00357992	1.4
84	11.1434	2.1802	3.5	0	6.55546	153.623	0.00357992	1.4
85	11.2305	2.20616	3.5	0	6.55546	153.623	0.00357992	1.4
86	11.3175	2.23211	3.5	0	6.55546	153.623	0.00357992	1.4
87	11.4046	2.25807	3.5	0	6.55546	153.623	0.00357992	1.4
88	11.4916	2.28402	3.5	0	6.55546	153.623	0.00357992	1.4
89	11.5787	2.30998	3.5	0	6.55546	153.623	0.00357992	1.4
90	11.6657	2.33593	3.5	0	6.55546	153.623	0.00357992	1.4
91	11.7528	2.36189	3.5	0	6.55546	153.623	0.00357992	1.4
92	11.8399	2.38784	3.5	0	6.55546	153.623	0.00357992	1.4
93	11.9269	2.41379	3.5	0	6.55546	153.623	0.00357992	1.4
94	12.014	2.43975	3.5	0	6.55546	153.623	0.00357992	1.4
95	12.101	2.4657	3.5	0	6.55546	153.623	0.00357992	1.4
96	12.1881	2.49166	3.5	0	6.55546	153.623	0.00357992	1.4
97	12.2751	2.51761	3.5	0	6.55546	153.623	0.00357992	1.4
98	12.3622	2.54357	3.5	0	6.55546	153.623	0.00357992	1.4
99	12.4492	2.56952	3.5	0	6.55546	153.623	0.00357992	1.4
100	12.5363	2.59548	3.5	0	6.55546	153.623	0.00357992	1.4


Calculated wall contour
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Density(slug/ft3)	Gamma	Mass Flow (lbm)	%Dif in Mdot
0	0	1	1.17779	0	212.216	414.892	0.0429112	1.4	35.7288	0
1	0.000230286	1	1.17789	0.0131944	212.191	414.878	0.0429076	1.4	36.0004	0.76026
2	0.000920735	1	1.17816	0.0527543	212.115	414.836	0.0428965	1.4	36.0074	0.77988
3	0.00207073	1	1.17865	0.118644	211.981	414.761	0.0428772	1.4	36.0124	0.793707
4	0.00367965	1.00001	1.17938	0.210829	211.782	414.65	0.0428485	1.4	36.0154	0.802265
5	0.00574714	1.00002	1.18039	0.329289	211.506	414.495	0.0428086	1.4	36.0168	0.806067
6	0.00827332	1.00003	1.18174	0.474031	211.138	414.289	0.0427554	1.4	36.0167	0.805712
7	0.0112592	1.00006	1.18349	0.645118	210.659	414.021	0.0426861	1.4	36.0153	0.801988
8	0.0147071	1.00011	1.18573	0.842684	210.049	413.678	0.0425978	1.4	36.0131	0.795695
9	0.0186211	1.00017	1.18855	1.06697	209.284	413.246	0.0424868	1.4	36.0101	0.787458
10	0.0230076	1.00026	1.19204	1.31835	208.336	412.711	0.0423493	1.4	36.0068	0.778113
11	0.027876	1.00039	1.19633	1.59738	207.178	412.054	0.0421811	1.4	36.0034	0.768629
12	0.0332391	1.00055	1.20152	1.90481	205.78	411.258	0.0419775	1.4	36.0004	0.760342
13	0.0391138	1.00077	1.20775	2.24162	204.11	410.301	0.0417339	1.4	35.9987	0.755441
14	0.0455216	1.00104	1.21516	2.6091	202.136	409.164	0.0414453	1.4	35.9981	0.753784
15	0.0524892	1.00138	1.22389	3.00879	199.828	407.823	0.0411066	1.4	35.9981	0.753725
16	0.0600488	1.0018	1.23409	3.44261	197.154	406.257	0.040713	1.4	35.998	0.753362
17	0.0682387	1.00233	1.2459	3.91283	194.086	404.44	0.0402594	1.4	35.9979	0.753192
18	0.0725912	1.00264	1.25257	4.16283	192.367	403.414	0.0400044	1.4	35.9979	0.753113
19	0.0771036	1.00298	1.2595	4.4221	190.596	402.349	0.0397409	1.4	35.9979	0.753104
20	0.0814532	1.00332	1.26654	4.6721	188.804	401.264	0.0394737	1.4	35.9978	0.753033
21	0.0866942	1.00377	1.27503	4.97346	186.66	399.957	0.0391531	1.4	35.9978	0.752973
22	0.0910403	1.00415	1.28243	5.22346	184.807	398.818	0.038875	1.4	35.9978	0.752912
23	0.097068	1.00472	1.29269	5.57036	182.258	397.239	0.0384913	1.4	35.9978	0.752816
24	0.10141	1.00516	1.30041	5.82036	180.356	396.05	0.0382039	1.4	35.9977	0.752766
25	0.108289	1.00588	1.31265	6.2167	177.372	394.167	0.0377514	1.4	35.9977	0.752627
26	0.112626	1.00636	1.32067	6.4667	175.435	392.932	0.0374564	1.4	35.9977	0.752586
27	0.120429	1.00728	1.3351	6.91684	171.99	390.712	0.0369295	1.4	35.9976	0.752394
28	0.124759	1.00781	1.3434	7.16684	170.032	389.436	0.0366287	1.4	35.9976	0.752364
29	0.129087	1.00837	1.35169	7.41684	168.092	388.161	0.0363297	1.4	35.9976	0.752342
30	0.133564	1.00896	1.36027	7.67561	166.103	386.843	0.0360221	1.4	35.9976	0.752317
31	0.137887	1.00955	1.36881	7.92561	164.138	385.53	0.0357173	1.4	35.9976	0.752302
32	0.142208	1.01016	1.37736	8.17561	162.192	384.219	0.0354143	1.4	35.9976	0.752287
33	0.14778	1.01098	1.38838	8.49832	159.708	382.528	0.035026	1.4	35.9976	0.75225
34	0.152094	1.01163	1.39715	8.74832	157.751	381.183	0.0347189	1.4	35.9976	0.752246
35	0.156406	1.01231	1.40593	8.99832	155.813	379.839	0.0344138	1.4	35.9976	0.752247
36	0.163168	1.0134	1.4197	9.39083	152.81	377.733	0.0339386	1.4	35.9975	0.752185
37	0.167471	1.01412	1.42868	9.64083	150.874	376.359	0.0336309	1.4	35.9975	0.752198
38	0.171771	1.01486	1.43767	9.89083	148.958	374.988	0.0333253	1.4	35.9975	0.752216
39	0.179825	1.0163	1.45452	10.3596	145.418	372.419	0.0327577	1.4	35.9975	0.752122
40	0.184116	1.0171	1.46371	10.6096	143.517	371.022	0.0324512	1.4	35.9975	0.752156
41	0.188403	1.01791	1.47289	10.8596	141.636	369.626	0.0321469	1.4	35.9975	0.752199
42	0.192686	1.01874	1.48208	11.1096	139.775	368.232	0.0318445	1.4	35.9976	0.752245
43	0.197856	1.01977	1.49319	11.4116	137.551	366.548	0.0314819	1.4	35.9976	0.752293
44	0.202131	1.02064	1.50256	11.6616	135.698	365.131	0.0311783	1.4	35.9976	0.752352
45	0.206403	1.02153	1.51193	11.9116	133.865	363.714	0.0308769	1.4	35.9976	0.752418
46	0.21067	1.02244	1.52131	12.1616	132.051	362.299	0.0305775	1.4	35.9976	0.752488
47	0.217373	1.02391	1.53608	12.5548	129.237	360.077	0.0301106	1.4	35.9977	0.752546
48	0.221629	1.02487	1.54563	12.8048	127.444	358.642	0.0298117	1.4	35.9977	0.752633
49	0.225882	1.02585	1.55519	13.0548	125.671	357.209	0.0295148	1.4	35.9977	0.752729
50	0.230131	1.02684	1.56476	13.3048	123.917	355.778	0.0292199	1.4	35.9978	0.752829
51	0.238493	1.02886	1.58366	13.7976	120.514	352.958	0.0286445	1.4	35.9978	0.752891
52	0.242728	1.02991	1.59339	14.0476	118.793	351.511	0.0283516	1.4	35.9978	0.753016
53	0.246959	1.03097	1.60313	14.2976	117.091	350.064	0.0280609	1.4	35.9979	0.753152
54	0.251185	1.03206	1.61289	14.5476	115.407	348.619	0.0277722	1.4	35.9979	0.753291
55	0.255406	1.03317	1.62266	14.7976	113.743	347.175	0.0274855	1.4	35.998	0.753439
56	0.261346	1.03475	1.63646	15.1499	111.429	345.142	0.0270849	1.4	35.998	0.753618
57	0.26252	1.03507	1.63922	15.2196	110.97	344.736	0.0270053	1.4	35.9981	0.753673
58	0.283232	1.04079	1.66052	15.6366	107.491	341.612	0.0263977	1.4	35.9981	0.753673
59	0.315344	1.0499	1.68538	16.0174	103.552	337.988	0.0257031	1.4	35.9981	0.753672
60	0.35465	1.06131	1.71222	16.3466	99.445	334.102	0.0249707	1.4	35.9981	0.753671
61	0.399764	1.07466	1.74042	16.6233	95.288	330.051	0.0242206	1.4	35.9981	0.753673
62	0.449866	1.08973	1.76967	16.8468	91.1431	325.884	0.0234633	1.4	35.9981	0.75367
63	0.504308	1.10631	1.79955	17.023	87.0795	321.665	0.0227112	1.4	35.9981	0.75367
64	0.562647	1.12425	1.82986	17.1548	83.1299	317.427	0.0219706	1.4	35.9981	0.753669
65	0.624476	1.1434	1.86033	17.2475	79.3268	313.208	0.0212478	1.4	35.9981	0.753667
66	0.689496	1.16362	1.89083	17.3044	75.684	309.029	0.0205462	1.4	35.9981	0.753669
67	0.757425	1.18481	1.92122	17.3292	72.2111	304.91	0.0198683	1.4	35.9981	0.753664
68	0.828043	1.20684	1.95144	17.3245	68.9089	300.859	0.019215	1.4	35.9981	0.753668
69	0.901144	1.22962	1.98142	17.2928	65.7755	296.885	0.0185867	1.4	35.9981	0.753662
70	0.97657	1.25307	2.01114	17.2358	62.8044	292.99	0.0179831	1.4	35.9981	0.753665
71	1.05416	1.27708	2.04057	17.1555	59.9899	289.177	0.0174037	1.4	35.9981	0.753667
72	1.13381	1.30159	2.06975	17.0526	57.3207	285.441	0.016847	1.4	35.9981	0.753658
